Year,Month,Facility Reference Number,Licence Holder,Site Common Name,Latitude,Longitude,Finfish Aquaculture Management Unit,Sample Type,Incident Date,Number of Pens Sampled,Average L. salmonis motiles per fish,Average L. salmonis females per fish,Average chalimus per fish,Average caligus per fish,Comments,Year Class
2011,January,820,Marine Harvest Canada,Wicklow Point,50.78659,-126.69153,Broughton Archipelago,Routine monitoring,13-Jan-11,3,0.03,0.00,0.60,0.00,,1
2011,January,1702,Marine Harvest Canada,Goat Cove,52.78726,-128.41990,Central Coast,Routine monitoring,4-Jan-11,3,0.77,0.32,0.08,0.00,,2
2011,January,1580,Marine Harvest Canada,Jackson Pass,52.53727,-128.40286,Central Coast,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
2011,January,1691,Marine Harvest Canada,Kid Bay,52.80048,-128.40111,Central Coast,Routine monitoring,4-Jan-11,3,1.05,0.50,0.03,0.00,,2
2011,January,1896,Marine Harvest Canada,Lime Point,52.78538,-128.33133,Central Coast,Routine monitoring,8-Jan-11,3,0.22,0.07,0.00,0.00,,1
2011,January,884,Marine Harvest Canada,Lochalsh Bay,52.53399,-128.36020,Central Coast,Routine monitoring,25-Jan-11,3,0.62,0.15,0.87,0.30,,1
2011,January,1895,Marine Harvest Canada,Sheep Passage,52.79609,-128.31093,Central Coast,Routine monitoring,20-Jan-11,3,0.07,0.03,0.00,0.00,,2
2011,January,1148,Mainstream Canada,Binns Island,49.34182,-125.95328,Clayoquot Sound,Routine monitoring,5-Jan-11,2,0.03,0.00,0.05,0.00,"Sampling methodology differs from requirements outlined in licence conditions, but meets or exceeds the requirement",2
2011,January,1148,Mainstream Canada,Binns Island,49.34182,-125.95328,Clayoquot Sound,Routine monitoring,20-Jan-11,3,0.00,0.00,0.00,0.00,,2
2011,January,753,Mainstream Canada,Cormorant,49.25719,-125.92440,Clayoquot Sound,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
2011,January,234,Mainstream Canada,Dixon Bay,49.40478,-126.15072,Clayoquot Sound,Routine monitoring,1-Jan-11,3,0.13,0.10,0.05,0.00,,2
2011,January,234,Mainstream Canada,Dixon Bay,49.40478,-126.15072,Clayoquot Sound,Routine monitoring,17-Jan-11,3,0.17,0.15,0.07,0.35,,2
2011,January,540,Mainstream Canada,Fortune Channel,49.23503,-125.75174,Clayoquot Sound,Routine monitoring,1-Jan-11,3,0.43,0.23,0.05,0.00,,2
2011,January,540,Mainstream Canada,Fortune Channel,49.23503,-125.75174,Clayoquot Sound,Routine monitoring,16-Jan-11,3,0.45,0.30,0.02,0.03,,2
2011,January,1291,Mainstream Canada,McIntyre Lake,49.30557,-125.81583,Clayoquot Sound,Routine monitoring,1-Jan-11,3,0.03,0.00,0.00,0.00,,2
2011,January,1291,Mainstream Canada,McIntyre Lake,49.30557,-125.81583,Clayoquot Sound,Routine monitoring,16-Jan-11,3,0.20,0.15,0.00,0.00,,2
2011,January,1507,Mainstream Canada,Millar Channel,49.37622,-126.09003,Clayoquot Sound,Routine monitoring,3-Jan-11,3,0.07,0.00,4.58,0.00,,1
2011,January,1507,Mainstream Canada,Millar Channel,49.37622,-126.09003,Clayoquot Sound,Routine monitoring,17-Jan-11,3,0.12,0.05,11.85,0.00,,1
2011,January,526,Mainstream Canada,Rant Point,49.25670,-125.84153,Clayoquot Sound,Routine monitoring,1-Jan-11,3,0.10,0.05,0.08,0.22,,2
2011,January,526,Mainstream Canada,Rant Point,49.25670,-125.84153,Clayoquot Sound,Routine monitoring,16-Jan-11,3,0.30,0.13,0.08,0.13,,2
2011,January,314,Mainstream Canada,Ross Pass,49.32437,-126.04849,Clayoquot Sound,Routine monitoring,1-Jan-11,3,0.20,0.13,0.57,0.37,,1
2011,January,314,Mainstream Canada,Ross Pass,49.32437,-126.04849,Clayoquot Sound,Routine monitoring,16-Jan-11,3,0.18,0.07,1.25,0.43,,1
2011,January,1472,Mainstream Canada,West Side,49.27928,-125.83065,Clayoquot Sound,Routine monitoring,7-Jan-11,7,0.00,0.00,0.00,0.00,,1
2011,January,1472,Mainstream Canada,West Side,49.27928,-125.83065,Clayoquot Sound,Routine monitoring,15-Jan-11,3,0.00,0.00,0.00,0.00,,1
2011,January,871,Grieg Seafood BC,Barnes Bay,50.32437,-125.26039,Discovery Islands,Routine monitoring,17-Jan-11,3,0.32,0.13,0.00,0.00,,1
2011,January,377,Marine Harvest Canada,Bickley Bay,50.45308,-125.39642,Discovery Islands,Routine monitoring,12-Jan-11,3,0.17,0.08,0.00,0.00,,1
2011,January,388,Marine Harvest Canada,Brougham Point,50.37192,-125.37990,Discovery Islands,Routine monitoring,5-Jan-11,3,0.57,0.23,0.02,0.00,,1
2011,January,790,Marine Harvest Canada,Chancellor Channel,50.41723,-125.66284,Discovery Islands,Routine monitoring,12-Jan-11,3,0.15,0.05,0.38,0.07,,2
2011,January,137,Grieg Seafood BC,Conville Bay,50.18057,-125.14933,Discovery Islands,Routine monitoring,29-Jan-11,3,1.03,0.13,0.00,0.17,,1
2011,January,1164,Marine Harvest Canada,Far Side,50.48576,-125.27429,Discovery Islands,Routine monitoring,13-Jan-11,3,0.43,0.32,0.03,0.00,,2
2011,January,553,Marine Harvest Canada,Frederick Arm,50.46975,-125.26153,Discovery Islands,Routine monitoring,12-Jan-11,3,0.13,0.10,0.00,0.00,,2
2011,January,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,Discovery Islands,Routine monitoring,4-Jan-11,3,0.18,0.05,0.17,0.03,,1
2011,January,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,Discovery Islands,Routine monitoring,31-Jan-11,3,9.38,6.02,0.75,4.17,,1
2011,January,100,Marine Harvest Canada,Lees Bay,50.41063,-125.70029,Discovery Islands,Routine monitoring,14-Jan-11,3,0.22,0.03,0.18,0.00,,2
2011,January,78,Marine Harvest Canada,Phillips Arm,50.48825,-125.35658,Discovery Islands,Routine monitoring,3-Jan-11,3,0.10,0.05,0.02,0.00,,2
2011,January,304,Mainstream Canada,Raza Island,50.32159,-125.00882,Discovery Islands,Follow-up,18-Jan-11,3,1.50,0.95,0.08,0.17,,2
2011,January,1136,Marine Harvest Canada,Shaw Point,50.48527,-125.88981,Discovery Islands,Routine monitoring,19-Jan-11,3,0.87,0.30,0.58,0.03,,2
2011,January,380,Marine Harvest Canada,Sonora Point,50.42362,-125.30517,Discovery Islands,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
2011,January,378,Marine Harvest Canada,Thurlow,50.40808,-125.34088,Discovery Islands,Routine monitoring,3-Jan-11,3,0.87,0.33,0.02,0.00,,1
2011,January,1863,Grieg Seafood BC,Esperanza,49.87814,-126.76145,Esperanza Inlet,Routine monitoring,20-Jan-11,3,0.45,0.12,0.05,0.00,,2
2011,January,1079,Grieg Seafood BC,Steamer,49.88680,-126.79110,Esperanza Inlet,Routine monitoring,20-Jan-11,3,0.38,0.15,0.00,0.00,,2
2011,January,1738,Grieg Seafood BC,Atrevida,49.65603,-126.45404,Nootka Sound,Routine monitoring,15-Jan-11,3,0.08,0.02,0.02,0.00,,1
2011,January,1849,Grieg Seafood BC,Muchalat North,49.64394,-126.33953,Nootka Sound,Routine monitoring,23-Jan-11,3,0.07,0.05,0.00,0.00,,1
2011,January,1705,Grieg Seafood BC,Williamson,49.65623,-126.42849,Nootka Sound,Routine monitoring,28-Jan-11,3,0.77,0.53,0.00,0.00,,2
2011,January,892,Marine Harvest Canada,Bell Island,50.83242,-127.52057,Port Hardy,Routine monitoring,6-Jan-11,3,0.00,0.00,0.00,0.00,,1
2011,January,1288,Marine Harvest Canada,Doyle Island,50.81456,-127.48698,Port Hardy,Threshold exceedance,19-Jan-11,3,3.72,2.30,0.10,0.32,Harvesting,2
2011,January,1293,Marine Harvest Canada,Duncan Island,50.81950,-127.55568,Port Hardy,Routine monitoring,4-Jan-11,3,0.00,0.00,0.00,0.00,,2
2011,January,1198,Marine Harvest Canada,Raynor,50.89253,-127.25359,Port Hardy,Routine monitoring,10-Jan-11,3,1.78,0.37,0.32,0.60,,1
2011,January,831,Marine Harvest Canada,Shelter Pass,50.88414,-127.50040,Port Hardy,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
2011,January,1376,Marine Harvest Canada,Cleagh Creek,50.48224,-127.73243,Quatsino Sound,Routine monitoring,9-Jan-11,3,3.00,0.62,0.40,0.37,,1
2011,January,1376,Marine Harvest Canada,Cleagh Creek,50.48224,-127.73243,Quatsino Sound,Routine monitoring,22-Jan-11,3,2.13,0.60,1.10,0.80,,1
2011,January,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,Quatsino Sound,Routine monitoring,8-Jan-11,3,0.67,0.47,0.00,0.00,,2
2011,January,1338,Marine Harvest Canada,Mahatta East,50.47456,-127.78781,Quatsino Sound,Routine monitoring,26-Jan-11,3,0.02,0.00,0.08,0.00,,2
2011,January,1238,Marine Harvest Canada,Mahatta West,50.46914,-127.83577,Quatsino Sound,Routine monitoring,12-Jan-11,3,0.30,0.17,0.03,0.00,,2
2011,January,1237,Marine Harvest Canada,Monday Rocks,50.48562,-127.87618,Quatsino Sound,Threshold exceedance,15-Jan-11,3,16.82,7.50,0.63,0.28,Harvesting,2
2011,January,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,21-Jan-11,3,1.03,0.42,0.00,0.00,,2
2011,January,1697,Grieg Seafood BC,Culloden,49.79595,-124.10162,Sunshine Coast,Routine monitoring,24-Jan-11,3,0.12,0.03,0.00,0.47,,1
2011,January,332,Grieg Seafood BC,Salten,49.61535,-123.83407,Sunshine Coast,Routine monitoring,26-Jan-11,1,0.00,0.00,0.00,0.00,Sampling methodology does not meet requirements outlined in licence conditions,1
2011,January,746,Grieg Seafood BC,Site 13,49.62910,-123.84265,Sunshine Coast,Routine monitoring,26-Jan-11,2,0.05,0.00,0.00,0.00,Sampling methodology does not meet requirements outlined in licence conditions (<4 pens),1
2011,February,466,Marine Harvest Canada,Arrow Pass,50.70973,-126.66200,Broughton Archipelago,Routine monitoring,18-Feb-11,3,0.35,0.08,0.42,0.27,,1
2011,February,1144,Mainstream Canada,Burdwood,50.79690,-126.49581,Broughton Archipelago,Post in-feed treatment,19-Feb-11,3,0.10,0.03,0.02,0.03,,2
2011,February,458,Mainstream Canada,Cypress Harbour,50.83772,-126.66313,Broughton Archipelago,Routine monitoring,24-Feb-11,2,0.40,0.08,0.00,0.00,Sampling methodology does not meet requirements outlined in licence conditions (broodstock in spawning year),Brood
2011,February,1586,Marine Harvest Canada,Doctor Islets,50.65373,-126.28925,Broughton Archipelago,Post in-feed treatment,5-Feb-11,3,0.05,0.03,0.02,0.02,,1
2011,February,869,Mainstream Canada,Maude Island,50.85271,-126.75743,Broughton Archipelago,Routine monitoring,19-Feb-11,3,0.17,0.00,0.07,0.08,,2
2011,February,1825,Grieg Seafood BC,Noo-la,50.60799,-126.36301,Broughton Archipelago,Routine monitoring,8-Feb-11,3,0.45,0.15,0.08,0.03,,1
2011,February,141,Marine Harvest Canada,Port Elizabeth,50.67099,-126.47653,Broughton Archipelago,Routine monitoring,5-Feb-11,3,0.40,0.10,0.02,0.00,,2
2011,February,1145,Marine Harvest Canada,Potts Bay,50.64920,-126.61820,Broughton Archipelago,Post in-feed treatment,19-Feb-11,2,0.03,0.03,0.00,0.00,Sampling methodology does not meet requirements outlined in licence conditions (broodstock in spawning year),Brood
2011,February,1336,Mainstream Canada,Simmonds Point,50.87791,-126.90153,Broughton Archipelago,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
2011,February,728,Mainstream Canada,Sir Edmund Bay,50.83096,-126.59684,Broughton Archipelago,Routine monitoring,n/a,0,,,,,Count(s) not required (harvesting),2
2011,February,465,Marine Harvest Canada,Swanson,50.61871,-126.70473,Broughton Archipelago,Routine monitoring,25-Feb-11,3,0.03,0.00,0.00,0.00,,2
2011,February,739,Marine Harvest Canada,Upper Retreat,50.72183,-126.56810,Broughton Archipelago,Routine monitoring,16-Feb-11,3,0.13,0.00,0.48,0.08,,1
2011,February,1335,Mainstream Canada,Wehlis Bay,50.86410,-126.92374,Broughton Archipelago,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
2011,February,820,Marine Harvest Canada,Wicklow Point,50.78659,-126.69153,Broughton Archipelago,Routine monitoring,13-Feb-11,3,0.12,0.03,1.47,0.15,,1
2011,February,1702,Marine Harvest Canada,Goat Cove,52.78726,-128.41990,Central Coast,Routine monitoring,2-Feb-11,3,0.17,0.15,0.00,0.02,,2
2011,February,1580,Marine Harvest Canada,Jackson Pass,52.53727,-128.40286,Central Coast,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
2011,February,1691,Marine Harvest Canada,Kid Bay,52.80048,-128.40111,Central Coast,Routine monitoring,11-Feb-11,3,0.37,0.23,0.05,0.03,,2
2011,February,1896,Marine Harvest Canada,Lime Point,52.78538,-128.33133,Central Coast,Routine monitoring,2-Feb-11,3,0.15,0.02,0.40,0.03,,1
2011,February,884,Marine Harvest Canada,Lochalsh Bay,52.53399,-128.36020,Central Coast,Routine monitoring,1-Feb-11,2,0.58,0.25,5.45,1.90,"Sampling methodology differs from requirements outlined in licence conditions, but meets or exceeds the requirement",1
2011,February,884,Marine Harvest Canada,Lochalsh Bay,52.53399,-128.36020,Central Coast,Routine monitoring,26-Feb-11,3,0.47,0.25,1.68,0.08,,1
2011,February,1895,Marine Harvest Canada,Sheep Passage,52.79609,-128.31093,Central Coast,Routine monitoring,8-Feb-11,3,0.00,0.00,0.00,0.00,,2
2011,February,1148,Mainstream Canada,Binns Island,49.34182,-125.95328,Clayoquot Sound,Routine monitoring,1-Feb-11,3,0.13,0.05,0.02,0.08,,2
2011,February,1148,Mainstream Canada,Binns Island,49.34182,-125.95328,Clayoquot Sound,Routine monitoring,19-Feb-11,3,0.07,0.03,0.13,0.38,,2
2011,February,753,Mainstream Canada,Cormorant,49.25719,-125.92440,Clayoquot Sound,Routine monitoring,5-Feb-11,3,0.02,0.00,0.00,0.00,,1
2011,February,753,Mainstream Canada,Cormorant,49.25719,-125.92440,Clayoquot Sound,Routine monitoring,17-Feb-11,3,0.03,0.00,0.00,0.00,,1
2011,February,234,Mainstream Canada,Dixon Bay,49.40478,-126.15072,Clayoquot Sound,Routine monitoring,1-Feb-11,3,0.32,0.15,0.28,0.00,,2
2011,February,234,Mainstream Canada,Dixon Bay,49.40478,-126.15072,Clayoquot Sound,Routine monitoring,17-Feb-11,3,0.43,0.05,1.45,0.05,,2
2011,February,540,Mainstream Canada,Fortune Channel,49.23503,-125.75174,Clayoquot Sound,Pre-treatment,1-Feb-11,3,0.40,0.23,0.00,0.00,,2
2011,February,540,Mainstream Canada,Fortune Channel,49.23503,-125.75174,Clayoquot Sound,Follow-up,16-Feb-11,3,0.32,0.20,0.00,0.03,,2
2011,February,1291,Mainstream Canada,McIntyre Lake,49.30557,-125.81583,Clayoquot Sound,Routine monitoring,1-Feb-11,3,0.12,0.03,0.00,0.03,,2
2011,February,1291,Mainstream Canada,McIntyre Lake,49.30557,-125.81583,Clayoquot Sound,Routine monitoring,24-Feb-11,3,0.13,0.07,0.05,0.00,,2
2011,February,1507,Mainstream Canada,Millar Channel,49.37622,-126.09003,Clayoquot Sound,Threshold exceedance,1-Feb-11,3,11.32,0.22,15.67,0.00,Management action planned (In-feed treatment),1
2011,February,1507,Mainstream Canada,Millar Channel,49.37622,-126.09003,Clayoquot Sound,Pre-treatment; Follow-up,16-Feb-11,3,17.43,1.87,25.23,0.00,In-feed treatment,2
2011,February,526,Mainstream Canada,Rant Point,49.25670,-125.84153,Clayoquot Sound,Routine monitoring,2-Feb-11,3,0.12,0.05,0.12,0.08,,2
2011,February,526,Mainstream Canada,Rant Point,49.25670,-125.84153,Clayoquot Sound,Routine monitoring,16-Feb-11,3,0.33,0.13,0.20,0.10,,2
2011,February,314,Mainstream Canada,Ross Pass,49.32437,-126.04849,Clayoquot Sound,Routine monitoring,1-Feb-11,3,0.92,0.23,3.38,0.08,,1
2011,February,314,Mainstream Canada,Ross Pass,49.32437,-126.04849,Clayoquot Sound,Pre-treatment,16-Feb-11,3,1.22,0.43,5.40,1.40,In-feed treatment,1
2011,February,1472,Mainstream Canada,West Side,49.27928,-125.83065,Clayoquot Sound,Routine monitoring,2-Feb-11,3,0.00,0.00,0.00,0.00,,1
2011,February,1472,Mainstream Canada,West Side,49.27928,-125.83065,Clayoquot Sound,Routine monitoring,24-Feb-11,3,0.10,0.00,0.02,0.00,,1
2011,February,871,Grieg Seafood BC,Barnes Bay,50.32437,-125.26039,Discovery Islands,Routine monitoring,17-Feb-11,2,0.63,0.43,0.70,0.00,Sampling methodology does not meet requirements outlined in licence conditions (harvesting),1
2011,February,377,Marine Harvest Canada,Bickley Bay,50.45308,-125.39642,Discovery Islands,Routine monitoring,8-Feb-11,3,0.10,0.00,0.08,0.00,,1
2011,February,388,Marine Harvest Canada,Brougham Point,50.37192,-125.37990,Discovery Islands,Routine monitoring,1-Feb-11,3,0.18,0.05,0.03,0.00,,1
2011,February,790,Marine Harvest Canada,Chancellor Channel,50.41723,-125.66284,Discovery Islands,Routine monitoring,16-Feb-11,3,0.37,0.12,0.12,0.70,,2
2011,February,137,Grieg Seafood BC,Conville Bay,50.18057,-125.14933,Discovery Islands,Pre-treatment,19-Feb-11,3,0.25,0.00,1.68,0.00,In-feed treatment,1
2011,February,1164,Marine Harvest Canada,Far Side,50.48576,-125.27429,Discovery Islands,Routine monitoring,8-Feb-11,3,0.38,0.32,0.00,0.00,,2
2011,February,553,Marine Harvest Canada,Frederick Arm,50.46975,-125.26153,Discovery Islands,Routine monitoring,3-Feb-11,3,0.23,0.22,0.00,0.00,,2
2011,February,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,Discovery Islands,Routine monitoring,10-Feb-11,3,0.30,0.02,0.78,0.13,,1
2011,February,100,Marine Harvest Canada,Lees Bay,50.41063,-125.70029,Discovery Islands,Routine monitoring,16-Feb-11,3,0.33,0.03,0.18,0.25,,2
2011,February,78,Marine Harvest Canada,Phillips Arm,50.48825,-125.35658,Discovery Islands,Routine monitoring,7-Feb-11,3,0.17,0.10,0.00,0.00,,2
2011,February,304,Mainstream Canada,Raza Island,50.32159,-125.00882,Discovery Islands,Follow-up,1-Feb-11,3,0.97,0.68,0.00,0.00,,2
2011,February,304,Mainstream Canada,Raza Island,50.32159,-125.00882,Discovery Islands,Post in-feed treatment,17-Feb-11,3,0.12,0.08,0.00,0.05,,2
2011,February,1136,Marine Harvest Canada,Shaw Point,50.48527,-125.88981,Discovery Islands,Routine monitoring,2-Feb-11,3,0.43,0.10,0.00,0.00,,2
2011,February,380,Marine Harvest Canada,Sonora Point,50.42362,-125.30517,Discovery Islands,Routine monitoring,9-Feb-11,3,1.40,0.18,0.35,0.40,,1
2011,February,378,Marine Harvest Canada,Thurlow,50.40808,-125.34088,Discovery Islands,Routine monitoring,1-Feb-11,3,0.08,0.02,0.07,0.03,,2
2011,February,1863,Grieg Seafood BC,Esperanza,49.87814,-126.76145,Esperanza Inlet,Routine monitoring,19-Feb-11,3,0.45,0.12,0.05,0.00,,2
2011,February,1079,Grieg Seafood BC,Steamer,49.88680,-126.79110,Esperanza Inlet,Routine monitoring,24-Feb-11,3,0.77,0.25,0.37,0.05,,2
2011,February,1738,Grieg Seafood BC,Atrevida,49.65603,-126.45404,Nootka Sound,Routine monitoring,25-Feb-11,3,0.27,0.07,0.03,0.00,,1
2011,February,1789,Grieg Seafood BC,Concepcion,49.65923,-126.47587,Nootka Sound,Routine monitoring,27-Feb-11,3,0.25,0.00,1.68,0.00,,1
2011,February,1849,Grieg Seafood BC,Muchalat North,49.64394,-126.33953,Nootka Sound,Routine monitoring,20-Feb-11,3,0.12,0.02,0.00,0.00,,2
2011,February,1705,Grieg Seafood BC,Williamson,49.65623,-126.42849,Nootka Sound,Routine monitoring,4-Feb-11,3,0.82,0.62,0.00,0.00,,2
2011,February,892,Marine Harvest Canada,Bell Island,50.83242,-127.52057,Port Hardy,Routine monitoring,4-Feb-11,3,0.00,0.00,0.00,0.00,,1
2011,February,1288,Marine Harvest Canada,Doyle Island,50.81456,-127.48698,Port Hardy,Routine monitoring,n/a,0,,,,,Count(s) not required (harvesting),2
2011,February,1293,Marine Harvest Canada,Duncan Island,50.81950,-127.55568,Port Hardy,Routine monitoring,n/a,0,,,,,Count(s) not required (harvesting),2
2011,February,1351,Marine Harvest Canada,Marsh Bay,50.90567,-127.34239,Port Hardy,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
2011,February,1198,Marine Harvest Canada,Raynor,50.89253,-127.25359,Port Hardy,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
2011,February,1350,Marine Harvest Canada,Shelter Bay,50.96555,-127.45345,Port Hardy,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
2011,February,831,Marine Harvest Canada,Shelter Pass,50.88414,-127.50040,Port Hardy,Routine monitoring,17-Feb-11,3,0.00,0.00,0.00,0.00,,1
2011,February,1376,Marine Harvest Canada,Cleagh Creek,50.48224,-127.73243,Quatsino Sound,Pre-treatment,5-Feb-11,3,2.80,0.57,0.65,2.02,In-feed treatment,1
2011,February,1376,Marine Harvest Canada,Cleagh Creek,50.48224,-127.73243,Quatsino Sound,Follow-up,18-Feb-11,3,1.85,0.65,0.48,0.68,,1
2011,February,1376,Marine Harvest Canada,Cleagh Creek,50.48224,-127.73243,Quatsino Sound,Follow-up,25-Feb-11,2,1.70,0.23,0.70,0.23,"Sampling methodology differs from requirements outlined in licence conditions, but meets or exceeds the requirement",1
2011,February,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,Quatsino Sound,Routine monitoring,14-Feb-11,3,0.23,0.10,0.05,0.12,,2
2011,February,1338,Marine Harvest Canada,Mahatta East,50.47456,-127.78781,Quatsino Sound,Routine monitoring,10-Feb-11,3,1.13,0.70,1.62,0.00,,2
2011,February,1238,Marine Harvest Canada,Mahatta West,50.46914,-127.83577,Quatsino Sound,Routine monitoring,10-Feb-11,3,0.43,0.13,1.07,0.07,,2
2011,February,1237,Marine Harvest Canada,Monday Rocks,50.48562,-127.87618,Quatsino Sound,Routine monitoring,n/a,0,,,,,Count(s) not required (harvesting),2
2011,February,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,18-Feb-11,3,1.98,0.43,0.00,0.00,,2
2011,February,1697,Grieg Seafood BC,Culloden,49.79595,-124.10162,Sunshine Coast,Routine monitoring,26-Feb-11,3,0.30,0.08,0.00,0.22,,2
2011,February,332,Grieg Seafood BC,Salten,49.61535,-123.83407,Sunshine Coast,Routine monitoring,26-Feb-11,2,0.03,0.00,0.00,0.00,Sampling methodology does not meet requirements outlined in licence conditions,1
2011,February,746,Grieg Seafood BC,Site 13,49.62910,-123.84265,Sunshine Coast,Routine monitoring,26-Feb-11,2,0.03,0.00,0.00,0.00,Sampling methodology does not meet requirements outlined in licence conditions (<4 pens),1
2011,March,466,Marine Harvest Canada,Arrow Pass,50.70973,-126.66200,Broughton Archipelago,Routine monitoring,5-Mar-11,3,0.25,0.15,0.27,0.47,,1
2011,March,466,Marine Harvest Canada,Arrow Pass,50.70973,-126.66200,Broughton Archipelago,Routine monitoring,25-Mar-11,3,0.28,0.05,0.22,0.07,,1
2011,March,1144,Mainstream Canada,Burdwood,50.79690,-126.49581,Broughton Archipelago,Routine monitoring,5-Mar-11,3,0.23,0.12,0.02,0.00,,2
2011,March,1144,Mainstream Canada,Burdwood,50.79690,-126.49581,Broughton Archipelago,Routine monitoring,16-Mar-11,3,0.15,0.15,0.05,0.00,,2
2011,March,819,Mainstream Canada,Cecil Island,50.85123,-126.71498,Broughton Archipelago,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),Brood
2011,March,458,Mainstream Canada,Cypress Harbour,50.83772,-126.66313,Broughton Archipelago,Routine monitoring,12-Mar-11,2,0.48,0.18,0.00,0.00,Sampling methodology does not meet requirements outlined in licence conditions (broodstock in spawning year),Brood
2011,March,458,Mainstream Canada,Cypress Harbour,50.83772,-126.66313,Broughton Archipelago,Routine monitoring,n/a,0,,,,,Count(s) not required (broodstock in spawning year),Brood
2011,March,1586,Marine Harvest Canada,Doctor Islets,50.65373,-126.28925,Broughton Archipelago,Routine monitoring,7-Mar-11,3,0.00,0.00,0.00,0.00,,1
2011,March,1586,Marine Harvest Canada,Doctor Islets,50.65373,-126.28925,Broughton Archipelago,Routine monitoring,19-Mar-11,3,0.00,0.00,0.07,0.00,,1
2011,March,869,Mainstream Canada,Maude Island,50.85271,-126.75743,Broughton Archipelago,Routine monitoring,6-Mar-11,3,0.02,0.02,0.00,0.00,,2
2011,March,869,Mainstream Canada,Maude Island,50.85271,-126.75743,Broughton Archipelago,Routine monitoring,14-Mar-11,4,0.00,0.00,0.01,0.01,,2
